cluster,gene,p_val,avg_logFC,pct.1,pct.2,p_val_adj
1,FGA,0,1.40,34.4%,2.1%,0
1,IK,0,1.39,89.4%,57.1%,0
1,HMGN3,0,1.35,92.3%,65.5%,0
1,DNALI1,0,1.34,84.3%,14.1%,0
1,CFAP53,0,1.34,76.5%,2.0%,0
1,TEKT1,0,1.33,81.3%,1.6%,0
1,ERICH3,0,1.33,70.2%,1.6%,0
1,ELF3,0,1.33,93.6%,31.9%,0
1,TSPAN1,0,1.31,75.7%,14.0%,0
1,CCDC78,0,1.31,78.3%,1.2%,0
1,SMIM22,0,1.29,82.7%,20.0%,0
1,SCGB1D4,0,1.29,33.5%,1.4%,0
1,EFHC1,0,1.29,82.7%,13.5%,0
1,CDHR3,0,1.29,76.1%,1.7%,0
1,CFAP157,0,1.28,77.3%,1.4%,0
1,CEP126,0,1.28,78.0%,7.1%,0
1,FXYD3,0,1.28,82.8%,20.8%,0
1,TUBA4B,0,1.27,79.2%,1.0%,0
1,FAM229B,0,1.26,82.3%,20.1%,0
1,C11orf97,0,1.26,74.4%,1.0%,0
1,CST6,0,1.26,68.0%,2.2%,0
1,DRC3,0,1.26,79.8%,4.5%,0
1,KIF9,0,1.25,85.6%,28.2%,0
1,CFAP298,0,1.25,87.3%,40.3%,0
1,CLDN3,0,1.23,89.3%,30.0%,0
1,CFAP43,0,1.23,68.3%,2.1%,0
1,PPIL6,0,1.22,78.8%,7.7%,0
1,ARMC3,0,1.21,75.1%,2.3%,0
1,SPAG16,0,1.21,83.8%,24.8%,0
1,STK33,0,1.21,77.0%,6.8%,0
1,CCDC39,0,1.21,73.9%,1.2%,0
1,TEKT2,0,1.20,77.4%,1.9%,0
1,FABP6,0,1.20,62.4%,1.2%,0
1,CYSTM1,0,1.20,91.2%,60.9%,0
1,IFT57,0,1.20,87.5%,44.9%,0
1,DYNLT1,0,1.20,91.6%,63.5%,0
1,CCDC113,0,1.19,71.6%,4.2%,0
1,DYDC2,0,1.18,73.3%,1.3%,0
1,SLC44A4,0,1.17,77.2%,8.3%,0
1,TSTD1,0,1.17,89.1%,43.2%,0
1,NME5,0,1.17,78.2%,8.9%,0
1,SPAG17,0,1.17,72.2%,1.2%,0
1,SPAG6,0,1.16,71.6%,0.7%,0
1,GON7,0,1.15,78.4%,14.8%,0
1,AC007906.2,0,1.15,83.3%,20.8%,0
1,CCDC153,0,1.14,75.7%,2.7%,0
1,CFAP73,0,1.14,76.1%,1.3%,0
1,NUDC,0,1.13,90.1%,65.7%,0
1,DPCD,0,1.12,81.8%,19.7%,0
1,CTXN1,0,1.12,79.8%,16.4%,0
1,RSPH4A,0,1.11,72.8%,1.5%,0
1,AKAP14,0,1.11,71.4%,1.0%,0
1,DNAH12,0,1.10,67.0%,0.6%,0
1,ENKUR,0,1.10,72.8%,1.3%,0
1,DNAH5,0,1.10,63.8%,0.9%,0
1,DNAJB13,0,1.10,76.4%,7.1%,0
1,C6orf118,0,1.10,75.0%,1.6%,0
1,AC013264.1,0,1.09,70.4%,2.0%,0
1,FAM216B,0,1.09,72.0%,0.7%,0
1,HYDIN,0,1.09,69.2%,3.1%,0
1,CCDC173,0,1.09,70.9%,4.6%,0
1,CFAP45,0,1.08,71.9%,1.8%,0
1,ARHGAP18,0,1.08,80.4%,21.0%,0
1,FAIM,0,1.08,77.4%,22.0%,0
1,WDR78,0,1.08,72.5%,5.4%,0
1,DPY30,0,1.08,83.6%,38.5%,0
1,RSPH9,0,1.07,67.9%,1.5%,0
1,MS4A8,0,1.07,68.3%,0.8%,0
1,FAM166B,0,1.07,72.5%,0.8%,0
1,IFT22,0,1.06,81.5%,26.4%,0
1,RIIAD1,0,1.06,67.6%,1.7%,0
1,ANKRD66,0,1.06,72.3%,0.7%,0
1,CFAP52,0,1.05,71.4%,0.8%,0
1,CATSPERD,0,1.05,67.6%,1.0%,0
1,RUVBL2,0,1.05,79.0%,22.5%,0
1,C4orf48,0,1.04,75.3%,20.0%,0
1,RBP1,0,1.04,94.1%,67.5%,0
1,WDR38,0,1.03,69.5%,0.8%,0
1,DNAH9,0,1.03,68.8%,1.2%,0
1,DRC1,0,1.03,69.4%,0.8%,0
1,MLF1,0,1.02,84.1%,35.5%,0
1,SPATA18,0,1.02,69.9%,6.7%,0
1,WFDC2,0,1.02,96.9%,42.2%,0
1,PACRG,0,1.02,72.5%,3.5%,0
1,CFAP221,0,1.02,66.9%,1.2%,0
1,DYNC2H1,0,1.02,70.9%,13.0%,0
1,TCTN1,0,1.01,76.4%,16.6%,0
1,SPEF2,0,1.01,72.2%,9.9%,0
1,RRAD,0,1.01,64.3%,31.4%,0
1,UFC1,0,1.01,89.0%,61.0%,0
1,C6,0,1.01,68.1%,1.1%,0
1,PLPP2,0,1.00,78.9%,21.5%,0
1,DNAH11,0,1.00,62.0%,1.6%,0
1,EPCAM,0,1.00,86.5%,29.3%,0
1,LRG1,0,0.99,63.1%,21.0%,0
1,IQCG,0,0.99,76.4%,11.0%,0
1,TCTEX1D4,0,0.99,65.8%,2.3%,0
1,AKAP9,0,0.99,87.0%,56.9%,0
1,DNPH1,0,0.99,85.0%,45.1%,0
1,DNAAF4,0,0.98,72.1%,6.8%,0
1,FAM174A,0,0.98,77.8%,21.4%,0
1,SPINT2,0,0.98,88.7%,35.8%,0
1,PRR29,0,0.98,66.0%,0.7%,0
1,TSPAN6,0,0.97,71.4%,17.1%,0
1,IFT27,0,0.97,77.1%,19.3%,0
1,GSTA3,0,0.96,65.3%,0.7%,0
1,SPATA17,0,0.96,67.5%,3.3%,0
1,CFAP70,0,0.96,59.8%,3.7%,0
1,KIF21A,0,0.95,78.0%,26.1%,0
1,SRI,0,0.95,88.8%,63.1%,0
1,VAMP8,0,0.95,87.3%,40.0%,0
1,GET1,0,0.95,72.4%,19.0%,0
1,B9D1,0,0.95,72.2%,10.8%,0
1,CCDC17,0,0.94,65.5%,1.3%,0
1,IFT43,0,0.94,80.0%,29.5%,0
1,RUVBL1,0,0.94,77.4%,23.0%,0
1,POLR2I,0,0.94,87.0%,55.2%,0
1,TMEM231,0,0.94,69.6%,5.7%,0
1,CABCOCO1,0,0.94,68.6%,2.2%,0
1,OSCP1,0,0.93,72.2%,7.4%,0
1,PDK4,0,0.93,75.8%,27.2%,0
1,WDR60,0,0.93,73.7%,24.0%,0
1,ERGIC3,0,0.93,84.0%,46.8%,0
1,TRAF3IP1,0,0.92,70.8%,14.5%,0
1,KRT8,0,0.92,92.0%,36.1%,0
1,CASC1,0,0.92,62.9%,2.7%,0
1,CALML4,0,0.92,66.2%,7.5%,0
1,LINC02345,0,0.91,66.3%,0.7%,0
1,P4HTM,0,0.91,78.9%,27.6%,0
1,ARL3,0,0.91,83.4%,44.9%,0
1,CDS1,0,0.91,71.8%,12.8%,0
1,DNAH6,0,0.91,61.6%,4.1%,0
1,WDR86-AS1,0,0.91,63.7%,4.0%,0
1,GIHCG,0,0.91,68.3%,12.1%,0
1,LRRC10B,0,0.91,66.9%,2.6%,0
1,EFCAB10,0,0.90,64.6%,0.7%,0
1,CFAP300,0,0.90,66.9%,3.1%,0
1,C20orf96,0,0.90,69.0%,6.0%,0
1,COPRS,0,0.90,81.8%,38.4%,0
1,CD164L2,0,0.90,64.5%,0.9%,0
1,DNAH7,0,0.90,58.1%,2.1%,0
1,SAXO2,0,0.90,63.0%,1.6%,0
1,HSBP1,0,0.89,89.4%,64.4%,0
1,TTC25,0,0.89,67.6%,1.4%,0
1,MAPK15,0,0.89,65.7%,2.3%,0
1,EZR,0,0.89,88.7%,52.8%,0
1,DTHD1,0,0.89,61.8%,1.1%,0
1,TMEM107,0,0.88,73.0%,14.7%,0
1,NUCB2,0,0.88,82.7%,48.8%,0
1,CRNDE,0,0.88,67.1%,5.9%,0
1,STOML3,0,0.88,61.9%,1.2%,0
1,BLCAP,0,0.87,72.1%,17.5%,0
1,NELL2,0,0.87,64.1%,1.1%,0
1,C21orf58,0,0.87,62.4%,1.6%,0
1,BBOF1,0,0.87,62.5%,6.4%,0
1,SPATA33,0,0.87,70.8%,10.2%,0
1,CTSD,0,0.87,84.8%,56.9%,0
1,CSPP1,0,0.86,68.8%,13.9%,0
1,TSPAN3,0,0.86,83.3%,47.6%,0
1,PKP2,0,0.86,71.9%,18.9%,0
1,CCDC65,0,0.86,64.7%,1.1%,0
1,CKB,0,0.86,94.1%,62.3%,0
1,RIBC1,0,0.86,65.8%,2.6%,0
1,ACBD3-AS1,0,0.86,61.6%,0.7%,0
1,GDF15,0,0.85,44.7%,13.4%,0
1,TAX1BP1,0,0.85,86.9%,62.7%,0
1,ANXA13,0,0.84,56.2%,3.6%,0
1,MYCBP,0,0.84,70.8%,15.9%,0
1,EFCAB2,0,0.84,68.4%,11.1%,0
1,TEX9,0,0.84,66.1%,7.3%,0
1,CCDC74A,0,0.84,66.2%,8.7%,0
1,SPEF1,0,0.84,65.1%,1.4%,0
1,UBXN10,0,0.84,66.3%,5.4%,0
1,TCTEX1D1,0,0.83,60.0%,1.4%,0
1,ZBBX,0,0.83,57.7%,0.6%,0
1,SPAG1,0,0.83,63.5%,7.3%,0
1,SMIM6,0,0.83,53.5%,2.9%,0
1,NPHP1,0,0.83,62.4%,8.2%,0
1,CCDC198,0,0.82,51.0%,0.9%,0
1,FHAD1,0,0.82,60.4%,1.3%,0
1,ASRGL1,0,0.82,66.1%,25.6%,0
1,TSGA10,0,0.81,64.6%,9.4%,0
1,ENDOG,0,0.81,69.7%,17.3%,0
1,ODF2L,0,0.81,76.7%,28.6%,0
1,DMKN,0,0.81,85.4%,37.3%,0
1,C12orf75,0,0.81,67.8%,20.7%,0
1,CD46,0,0.81,85.1%,56.4%,0
1,NEK5,0,0.80,56.7%,2.5%,0
1,KRT19,0,0.80,92.1%,46.5%,0
1,CCDC181,0,0.80,58.8%,1.4%,0
1,NDUFA7,0,0.80,81.4%,42.3%,0
1,LXN,0,0.80,66.8%,17.4%,0
1,AK7,0,0.80,59.1%,1.6%,0
1,WDR63,0,0.79,57.7%,1.3%,0
1,CFAP206,0,0.79,61.6%,0.9%,0
1,TTC29,0,0.79,61.6%,0.5%,0
1,BSCL2,0,0.79,69.5%,19.7%,0
1,COQ4,0,0.79,74.5%,26.0%,0
1,CC2D2A,0,0.78,63.4%,9.8%,0
1,HSPB11,0,0.78,75.7%,37.6%,0
1,IQCD,0,0.78,61.1%,2.5%,0
1,MAP9,0,0.78,69.3%,18.4%,0
1,ANAPC4,0,0.78,59.1%,12.0%,0
1,CCDC30,0,0.78,58.1%,4.9%,0
1,CYP4B1,0,0.77,56.5%,6.3%,0
1,SYNE1,0,0.77,75.1%,37.6%,0
1,SPAG8,0,0.77,59.1%,1.7%,0
1,AL121899.1,0,0.77,58.9%,2.3%,0
1,UBXN11,0,0.77,66.1%,9.1%,0
1,ARMC4,0,0.77,58.1%,0.7%,0
1,H2AFJ,0,0.77,83.6%,48.8%,0
1,CCDC33,0,0.76,59.0%,3.1%,0
1,MOK,0,0.76,63.1%,11.1%,0
1,CFAP46,0,0.76,55.8%,1.2%,0
1,IFT46,0,0.76,63.4%,7.7%,0
1,LINC01320,0,0.76,54.8%,11.1%,0
1,RABL2B,0,0.75,62.5%,10.2%,0
1,GCC2,0,0.75,80.0%,44.0%,0
1,CFAP44,0,0.75,53.5%,3.0%,0
1,CFAP54,0,0.75,50.0%,1.0%,0
1,C11orf74,0,0.75,66.7%,16.2%,0
1,LRTOMT,0,0.75,62.4%,5.6%,0
1,DNAAF3,0,0.75,59.7%,0.9%,0
1,CFAP299,0,0.75,58.4%,0.4%,0
1,CLDN4,0,0.74,87.1%,31.7%,0
1,RP1,0,0.74,51.9%,1.9%,0
1,CES4A,0,0.74,53.9%,2.6%,0
1,TMEM232,0,0.74,54.6%,1.2%,0
1,ERP27,0,0.74,61.0%,18.3%,0
1,MISP,0,0.73,58.4%,8.6%,0
1,TMED6,0,0.73,50.1%,1.0%,0
1,DNAL1,0,0.73,61.5%,10.9%,0
1,TNFAIP8L1,0,0.73,60.2%,4.8%,0
1,ALDH3B1,0,0.73,58.6%,8.1%,0
1,DALRD3,0,0.73,69.7%,19.6%,0
1,CCDC96,0,0.73,56.1%,3.1%,0
1,DSP,0,0.72,73.7%,26.9%,0
1,C17orf97,0,0.72,60.6%,6.5%,0
1,CCDC114,0,0.72,54.1%,0.6%,0
1,MAATS1,0,0.72,56.4%,4.1%,0
1,PAPSS1,0,0.72,69.9%,22.2%,0
1,RFX3,0,0.72,56.8%,8.4%,0
1,CDHR4,0,0.72,53.5%,0.3%,0
1,GSTA1,0,0.72,28.7%,3.5%,0
1,LRRC6,0,0.72,57.2%,3.5%,0
1,CFAP47,0,0.72,48.7%,0.3%,0
1,TTLL10,0,0.72,53.7%,0.8%,0
1,CLGN,0,0.71,56.3%,4.2%,0
1,CLUAP1,0,0.71,66.7%,19.5%,0
1,DCDC2B,0,0.71,56.8%,0.4%,0
1,SRGAP3,0,0.71,58.1%,15.7%,0
1,RPA3,0,0.71,74.6%,31.2%,0
1,FANK1,0,0.71,57.7%,3.7%,0
1,HIPK1,0,0.71,71.9%,27.3%,0
1,SSBP4,0,0.71,80.2%,44.7%,0
1,ERBB4,0,0.71,55.3%,10.0%,0
1,CCDC191,0,0.71,59.6%,6.8%,0
1,MAP3K19,0,0.70,52.5%,0.4%,0
1,CFAP57,0,0.70,54.1%,0.7%,0
1,LCA5,0,0.70,60.4%,9.3%,0
1,C7orf57,0.00E+00,0.70,57.1%,0.4%,0.00E+00
1,KRT18,0,0.70,94.6%,45.0%,0
1,TUSC3,0,0.70,68.6%,22.5%,0
1,AQP3,0,0.69,53.3%,9.4%,0
1,SCGB1D2,3.83E-240,0.70,43.5%,17.9%,1.20E-235
2,CRISP3,0,2.37,92.7%,10.5%,0
2,WFDC2,0,2.22,99.8%,25.2%,0
2,KRT18,0,2.20,99.5%,28.6%,0
2,KRT7,0,2.15,95.2%,11.7%,0
2,CLU,0,2.03,99.9%,62.9%,0
2,KRT8,0,1.97,99.0%,17.3%,0
2,KRT17,0,1.92,74.3%,9.7%,0
2,MSLN,0,1.88,96.5%,5.9%,0
2,CLDN4,0,1.85,97.1%,11.9%,0
2,TACSTD2,0,1.85,94.5%,9.0%,0
2,MMP7,0,1.75,83.4%,6.5%,0
2,C19orf33,0,1.73,98.2%,11.5%,0
2,SLPI,0,1.70,99.5%,22.9%,0
2,LCN2,0,1.70,89.4%,8.2%,0
2,KRT19,0,1.68,98.9%,30.7%,0
2,CXCL1,0,1.58,54.6%,12.4%,0
2,ELF3,0,1.55,97.9%,12.2%,0
2,DAPL1,0,1.44,88.8%,6.8%,0
2,CLDN3,0,1.38,95.7%,10.3%,0
2,CLDN7,0,1.31,96.1%,8.4%,0
2,MUC1,0,1.29,94.9%,8.9%,0
2,CXCL2,0,1.24,86.9%,39.7%,0
2,SPINT2,0,1.24,97.9%,16.9%,0
2,EPCAM,0,1.23,96.5%,9.0%,0
2,LYPD1,0,1.18,80.5%,3.7%,0
2,HLA-DRB1,0,1.17,88.0%,24.3%,0
2,GAS5,0,1.14,83.6%,60.6%,0
2,SCGB3A1,0,1.14,69.0%,4.4%,0
2,BCAM,0,1.10,93.2%,25.7%,0
2,CCND1,0,1.05,88.1%,17.9%,0
2,TMEM238,0,1.04,93.9%,15.1%,0
2,CD9,0,1.03,99.4%,53.2%,0
2,FBXO21,0,1.03,90.6%,27.3%,0
2,ID4,0,1.01,90.3%,28.2%,0
2,SLC40A1,0,1.01,87.8%,19.0%,0
2,FOLR1,0,1.01,92.7%,9.5%,0
2,PDZK1IP1,0,0.99,77.8%,3.4%,0
2,TTYH1,0,0.98,84.4%,3.4%,0
2,KLF5,0,0.98,83.7%,9.6%,0
2,ISYNA1,0,0.94,94.5%,26.9%,0
2,CLDN1,0,0.93,77.0%,12.2%,0
2,CLDN10,0,0.91,76.8%,3.9%,0
2,RNASET2,0,0.91,96.4%,33.6%,0
2,DMKN,0,0.91,93.2%,20.4%,0
2,AC007906.2,0,0.86,68.4%,7.8%,0
2,TNFRSF12A,0,0.85,94.8%,48.3%,0
2,CD74,0,0.85,98.2%,43.4%,0
2,ASRGL1,0,0.85,77.9%,9.5%,0
2,GAS6,0,0.84,97.4%,49.6%,0
2,TNFAIP2,0,0.84,78.3%,27.6%,0
2,HLA-DMA,0,0.81,84.1%,16.8%,0
2,S100A1,0,0.80,70.1%,3.5%,0
2,EHF,0,0.79,74.8%,5.0%,0
2,GADD45A,0,0.79,93.8%,51.3%,0
2,PART1,0,0.78,77.7%,5.9%,0
2,NCOA7,0,0.77,90.2%,33.8%,0
2,SNHG8,0,0.77,98.8%,71.8%,0
2,SERPINB1,0,0.76,88.4%,43.7%,0
2,SERPINA3,0,0.76,34.6%,7.6%,0
2,CXCL3,0,0.73,60.3%,14.3%,0
2,HMGA1,0,0.73,85.2%,18.6%,0
2,BIRC3,0,0.73,80.9%,25.7%,0
2,IMPDH2,0,0.72,92.3%,39.5%,0
2,CD24,0,0.72,82.1%,11.4%,0
2,FAM107A,0,0.72,83.3%,11.9%,0
2,HLA-DRA,0,0.71,94.6%,27.6%,0
2,SDC4,0,0.71,84.4%,29.1%,0
2,SCGB1D2,0,0.71,58.6%,5.0%,0
2,ASS1,0,0.71,87.0%,18.9%,0
3,CCDC80,0,3.38,85.7%,27.7%,0
3,C7,0,2.85,77.7%,3.9%,0
3,CFD,0,2.70,40.1%,14.3%,0
3,DCN,0,2.44,99.1%,37.9%,0
3,COL1A1,0,2.34,74.5%,22.7%,0
3,COL3A1,0,2.34,69.2%,18.2%,0
3,COL1A2,0,2.31,81.3%,25.9%,0
3,IGFBP6,0,2.14,93.9%,35.4%,0
3,MGP,0,2.06,97.7%,50.4%,0
3,SPARC,0,2.04,81.8%,31.1%,0
3,IGFBP5,0,2.03,97.6%,41.5%,0
3,SFRP2,0,1.99,50.0%,0.7%,0
3,LUM,0,1.92,84.6%,14.6%,0
3,PLAC9,0,1.91,80.9%,21.1%,0
3,MFAP5,0,1.89,36.4%,3.8%,0
3,COL6A2,0,1.89,93.2%,36.7%,0
3,FBN1,0,1.88,73.0%,14.3%,0
3,ADH1B,0,1.87,78.6%,4.7%,0
3,FBLN1,0,1.78,95.4%,29.2%,0
3,COL6A1,0,1.75,88.7%,36.0%,0
3,DPT,0,1.75,77.2%,8.7%,0
3,GSN,0,1.72,96.9%,71.3%,0
3,APOD,0,1.63,70.1%,12.3%,0
3,THY1,0,1.58,66.4%,12.4%,0
3,SPON2,0,1.57,67.3%,11.2%,0
3,FSTL1,0,1.56,78.0%,25.8%,0
3,OGN,0,1.55,81.5%,16.4%,0
3,COL6A3,0,1.49,79.0%,20.8%,0
3,MMP2,0,1.46,77.5%,17.4%,0
3,TNXB,0,1.39,71.1%,16.6%,0
3,C3,0,1.38,79.2%,31.2%,0
3,C1S,0,1.33,89.1%,24.9%,0
3,ABI3BP,0,1.33,68.2%,19.3%,0
3,SERPINF1,0,1.31,92.2%,28.1%,0
3,GAS1,0,1.29,61.6%,10.2%,0
3,PI16,0,1.28,34.3%,2.8%,0
3,SEMA3C,0,1.27,49.5%,8.9%,0
3,C1R,0,1.25,91.0%,37.5%,0
3,FN1,0,1.22,63.8%,14.7%,0
3,SPARCL1,0,1.21,98.1%,59.3%,0
3,SERPING1,0,1.21,92.8%,58.3%,0
3,MEDAG,0,1.19,64.9%,13.5%,0
3,IGFBP3,0,1.19,64.7%,16.9%,0
3,PCOLCE,0,1.18,76.1%,17.3%,0
3,LTBP4,0,1.17,85.3%,34.4%,0
3,PDGFRL,0,1.17,69.2%,15.0%,0
3,ADAMTS1,0,1.17,85.4%,43.8%,0
3,UAP1,0,1.17,75.7%,37.2%,0
3,MEG3,0,1.16,77.3%,17.1%,0
3,CCN1,0,1.16,69.1%,46.4%,0
3,RARRES1,0,1.16,60.7%,20.6%,0
3,FILIP1L,0,1.15,72.5%,25.2%,0
3,SFRP1,0,1.14,73.2%,20.4%,0
3,MFAP4,0,1.14,78.8%,24.1%,0
3,ANGPTL1,0,1.13,62.3%,6.9%,0
3,PDGFRA,0,1.09,72.5%,13.4%,0
3,CYP1B1,0,1.09,76.4%,25.0%,0
3,LRP1,0,1.08,81.5%,23.7%,0
3,GPNMB,0,1.07,67.8%,13.1%,0
3,FBLN5,0,1.07,70.1%,14.3%,0
3,PTGDS,0,1.06,73.9%,31.7%,0
3,MYC,0,1.06,86.8%,50.4%,0
3,CCN2,0,1.04,48.0%,27.1%,0
3,RGS2,0,1.04,71.4%,34.9%,0
3,SPTBN1,0,1.03,80.5%,43.2%,0
3,SFRP4,0,1.03,74.3%,25.9%,0
3,ABCA8,0,1.03,66.9%,8.9%,0
3,GPRC5A,0,1.03,66.7%,23.4%,0
3,TIMP2,0,1.03,83.9%,39.7%,0
3,CHRDL1,0,1.01,59.8%,7.0%,0
3,RARRES2,0,0.98,95.5%,59.4%,0
3,ASPN,0,0.98,44.5%,4.8%,0
3,IGF1,0,0.97,74.2%,21.4%,0
3,SCN7A,0,0.97,41.9%,0.7%,0
3,OAF,0,0.96,70.2%,19.7%,0
3,AEBP1,0,0.96,73.3%,22.5%,0
3,CD34,0,0.96,63.9%,11.2%,0
3,PTGIS,0,0.95,69.1%,17.3%,0
3,TIMP3,0,0.94,89.4%,42.6%,0
3,COL15A1,0,0.94,42.0%,10.5%,0
3,OLFML3,0,0.93,76.3%,18.9%,0
3,HAS1,0,0.92,33.3%,5.1%,0
3,CTSK,0,0.92,66.3%,13.7%,0
3,COL5A2,0,0.90,55.2%,8.5%,0
3,SLC19A2,0,0.90,54.8%,12.1%,0
3,COL14A1,0,0.89,54.9%,14.0%,0
3,SDC2,0,0.89,64.1%,20.2%,0
3,NBL1,0,0.88,85.5%,47.9%,0
3,MRC2,0,0.88,60.5%,11.9%,0
3,PODN,0,0.88,61.7%,9.3%,0
3,CITED2,0,0.87,54.9%,33.3%,0
3,LGALS1,0,0.87,98.4%,66.9%,0
3,EMP1,0,0.86,84.6%,49.8%,0
3,PSAP,0,0.86,88.3%,67.9%,0
3,FGF7,0,0.84,59.4%,14.8%,0
3,TNFAIP6,0,0.84,43.9%,9.7%,0
3,CPE,0,0.84,56.2%,26.1%,0
3,H19,0,0.83,64.5%,29.4%,0
3,CXCL12,0,0.82,52.8%,8.0%,0
3,KLF9,0,0.81,84.6%,42.8%,0
3,SMOC2,0,0.81,59.7%,18.6%,0
3,GEM,0,0.81,62.5%,23.0%,0
3,IGFBP4,0,0.81,95.3%,64.7%,0
3,PLAGL1,0,0.80,53.1%,11.8%,0
3,FHL1,0,0.79,79.0%,36.0%,0
3,OMD,0,0.79,57.8%,9.1%,0
3,COL5A1,0,0.79,53.5%,11.1%,0
3,ISLR,0,0.79,60.3%,13.8%,0
3,NFIB,0,0.78,74.5%,36.3%,0
3,MSX1,0,0.78,53.2%,11.3%,0
3,THBS1,0,0.78,57.8%,36.7%,0
3,CD248,0,0.77,53.0%,11.2%,0
3,RHOBTB3,0,0.77,61.3%,14.6%,0
3,VCAN,0,0.77,46.6%,5.9%,0
3,SRPX,0,0.77,53.6%,11.3%,0
3,ECM2,0,0.76,57.8%,8.9%,0
3,TFPI2,0,0.76,61.4%,36.9%,0
3,HTRA3,0,0.76,43.6%,5.7%,0
3,AKAP12,0,0.75,84.3%,46.9%,0
3,NFIA,0,0.75,81.8%,54.4%,0
3,GPC3,0,0.75,39.1%,1.6%,0
3,KLF4,0,0.74,76.8%,49.2%,0
3,PIM1,0,0.74,59.8%,34.1%,0
3,PALLD,0,0.74,71.2%,39.3%,0
3,MEG8,0,0.73,44.9%,8.0%,0
3,AGTR2,0,0.73,32.3%,0.6%,0
3,EFEMP1,0,0.72,69.8%,21.6%,0
3,CYBRD1,0,0.72,64.7%,20.8%,0
3,CRISPLD2,0,0.72,88.1%,33.9%,0
3,COL4A1,0,0.71,63.3%,28.3%,0
3,PCYOX1,0,0.71,63.8%,27.6%,0
3,COL12A1,0,0.70,47.3%,9.6%,0
3,PPIC,0,0.70,54.6%,25.7%,0
3,ELN,0,0.70,43.9%,8.8%,0
3,PRRX1,0,0.70,72.4%,20.8%,0
3,HAS2,0,0.70,30.1%,3.8%,0
4,SFRP4,0,2.16,88.6%,18.6%,0
4,PTGDS,0,2.01,92.4%,24.1%,0
4,IGF1,0,1.64,59.2%,19.9%,0
4,MDK,0,1.61,86.8%,51.8%,0
4,SFRP1,0,1.59,81.0%,14.1%,0
4,PENK,0,1.55,28.9%,2.2%,0
4,TGM2,0,1.55,86.4%,31.6%,0
4,F3,0,1.53,78.7%,24.7%,0
4,CDKN1C,0,1.48,74.2%,42.4%,0
4,CRISPLD2,0,1.43,93.4%,28.0%,0
4,RAMP1,0,1.38,92.8%,27.3%,0
4,NPPC,0,1.36,35.5%,3.0%,0
4,FBLN1,0,1.36,93.7%,23.7%,0
4,SERPINF1,0,1.35,92.1%,22.4%,0
4,TWIST2,0,1.29,70.5%,8.0%,0
4,MEG3,0,1.29,69.5%,13.4%,0
